"OBJECTID","ProjectID","CapproID","Department","Category","Name","Status","Manager","Phone","Email","BondAmount","District 1","District 2","District 3","District 4","District 5","District 6","District 7","District 8","District 9","District 10","District 11","District 12","District 13","District 14","City Wide","LastModDt","DsgnAwardC","DsgnCmpltC","CnstAwardC","CnstStartC","CnstCmpltC","District","Legend"
"23","20168","PB06U222","PBW","Intergovernmental Partnership Projects","Motor St - IH 35E to Medical Center Dr","Under Award - Design","Aniswarie Kanamazina",,,"$1,914,450.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Sep 06 11:45:07 AM","08/30/1911","06/30/2016","12/01/1916","02/27/2017","02/28/2019","2","Public Works - Other"
"24","19236","PB06U775","PBW","Thoroughfares","Bexar - Brigham to Myrtle","Under Award - Construction","Syed Muntajibuddin","214-948-4520","syed.muntajibuddin@dallascityhall.com","$1,659,190.00","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","2016 Aug 08 08:09:16 AM","12/12/2007","02/16/2011","05/25/2011","09/27/2012","08/29/2016","7","Public Works - Other"
"49","20217","PRK05609","PKR","Trail Development","Old Trinity Trail (Trinity Strand Trail).","Under Award - Construction",,,,"$1,000,000.00","false","true","false","false","false","true","false","false","false","false","false","false","false","false","false","2014 May 14 05:19:36 PM","11/20/2012",,"11/20/2012",,"08/31/2014","2,6","Park and Recreation"
"25","20254","PB06U765","PBW","Target Neighborhood","Polk St (S) - Wilbur St to Ferndale Av","Under Award - Construction","Lap Trinh","214-948-4001","wilkens.engmann@dallascityhall.com","$673,886.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:14:19 AM","08/26/2009","12/16/2011","04/25/2012","02/27/2013","09/26/2016","1","Public Works - Other"
"26","20426","PB06T535","TWM","Storm Drainage","State-Thomas - McKinney Ave.","Under Award - Construction","Milton Brooks","(214) 948-4015","milton.brooks@dallascityhall.com","$3,931,004.00","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","2016 Apr 11 04:31:54 PM","09/26/2007","04/30/2013","08/28/2013","02/03/2014","03/30/2015","14","Trinity Watershed Management"
"27","20143","PB06T524","TWM","Storm Drainage","Middle Peaks Branch - Phase 2 - Fair Park to Haskell","Under Award - Construction","Milton Brooks","214-948-4015","milton.brooks@dallascityhall.com","$12,566,450.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Jan 26 01:33:19 PM","06/13/2007","07/30/2015","01/13/2016","02/01/2016","12/30/2020","Citywide","Trinity Watershed Management"
"28","19786","PB06U787","PBW","Thoroughfares","Goodnight  - Royal to North of Harcourt","Under Award - Design","Liong So","214-948-4570","liong.so@dallascityhall.com","$3,399,212.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 08 04:49:14 PM","12/09/2009","05/21/2013","01/27/2017","03/13/2017","03/30/2018","6","Public Works - Other"
"29","19791","PB06U788","PBW","Thoroughfares","Goodnight - Joe Field to Royal","Under Award - Design","Liong So","214-948-4570","liong.so@dallascityhall.com","$3,842,655.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 12 07:21:36 PM","06/10/2009","01/21/2013","12/14/2016","02/28/2017","04/30/2018","6","Public Works - Other"
"30","20149","PB06T525","TWM","Storm Drainage","Mill Creek Drainage Relief System - Phase I","Under Award - Construction","Milton Brooks","214-948-4015","milton.brooks@dallascityhall.com","$57,688,760.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Jan 26 01:33:32 PM","06/13/2007","07/30/2015","01/13/2016","02/01/2016","12/30/2020","Citywide","Trinity Watershed Management"
"31","20452","PB06U802","PBW","Thoroughfares","Sylvan -West Commerce to Singleton","Under Award - Construction","Horacio Pizzarello","214-948-5350","horacio.Pizzarello@dallascityhall.com","$2,552,600.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 11 05:47:11 PM","02/27/2013","03/21/2016","06/22/2016","09/25/2016","05/25/2018","6","Public Works - Other"
"32","20427","PB06T536","TWM","Storm Drainage","State-Thomas @ Woodall Rodgers","Under Award - Construction","Milton Brooks","214-948-4015","milton.brooks@dallascityhall.com","$11,741,960.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Jan 26 01:35:14 PM","06/13/2007","07/30/2015","01/13/2016","02/01/2016","12/30/2020","Citywide","Trinity Watershed Management"
"33","19433","PB06U780","PBW","Thoroughfares","Chalk Hill  - I 30 EB frontage road to Singleton","Under Award - Design","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$6,630,449.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 12 07:36:13 PM","01/23/2008","08/15/2016","11/15/2016","12/25/2016","07/15/2018","6","Public Works - Other"
"34","19420","PB06U779","PBW","Thoroughfares","Central Boulevard -  Commerce to Live Oak","Under Award - Construction","Matt Stevens","(214) 948-4163","matthew.stevens@dallascityhall.com","$12,619,900.00","false","true","false","false","false","false","false","false","false","false","false","false","false","true","false","2016 Aug 12 04:25:01 PM","12/12/2007","06/15/2011","09/28/2011","03/12/2012","04/15/2017","2,14","Public Works - Other"
"35","19411","PB06U203","PBW","Intergovernmental Partnership Projects","CBD Fair Park Link- Hall St to I-30","Under Award - Design","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$4,125,929.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 11 09:28:27 AM","01/23/2008","07/31/2016","11/09/2016","01/31/2017","12/31/2018","2","Public Works - Other"
"36","20509","PB06U234","PBW","Intergovernmental Partnership Projects","Valley View/Walnut - IH 635 to City Limits","On Hold","Cecelia Rutherford","214-948-4631","cecelia.rutherford@dallascityhall.com","$893,410.00","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false","2016 Aug 05 12:05:21 PM","10/23/2013","12/30/2016","10/01/1916","12/01/2016","12/01/2017","10,11","Public Works - Other"
"37","21706","PB06U227","PBW","Intergovernmental Partnership Projects","Park Lane from US 75 to Greenville","Under Award - Design","Anshi Jin",,"Anshi.jin@dallascityhall.com","$957,225.00","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","2016 Sep 06 11:45:07 AM","01/08/1997","12/01/2017","04/01/1918","06/01/2018","12/03/2019","13","Public Works - Other"
"38","19612","PB06U735","PBW","Streetscape / Urban Design","Elm from Good Latimer to Hall","Under Award - Construction","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$1,781,587.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:40:31 AM","08/27/2008","08/21/2012","12/12/2012","01/14/2013","03/31/2016","2","Public Works - Street"
"39","20048","PB06T509","TWM","Flood Management","Levee Drainage System - Hampton-Oak Lawn Sump","Under Award - Construction","Lonnie Geiger","214-948-4126","lonnie.geiger@dallascityhall.com","$48,116,510.00","false","true","false","false","false","true","false","false","false","false","false","false","false","false","true","2016 Apr 11 04:31:54 PM","06/13/2007","02/06/2012","06/27/2012","09/26/2012","09/30/2015","2,6,Citywide","Trinity Watershed Management"
"40","20450","PB06U230","PBW","Intergovernmental Partnership Projects","Sylvan Bridge from Irving to Gallagher - Amenities","Under Award - Construction","Haroon Abdoh","214-948-4176","haroon.abdoh@dallascityhall.com","$9,827,510.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 05 10:01:41 AM","01/28/2004","03/24/2011","08/08/1911","03/28/2012","09/30/2016","6","Public Works - Other"
"41","20554","PB06U803","PBW","Thoroughfares","Wheatland - Lancaster CL to Lancaster Rd @ Plaza","Under Award - Design","Yousuf Bawany","(214) 948-5395",,"$5,295,618.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 08 02:46:31 PM","04/09/2008","05/15/2014","10/08/2016","05/16/2016","12/30/2017","8","Public Works - Other"
"42","20265","PB06U764","PBW","Target Neighborhood","Polk St (S) - Ferndale Av to Clarendon Av","Under Award - Construction","Lap Trinh","214-948-4001","wilkens.engmann@dallascityhall.com","$1,876,454.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:14:06 AM","08/26/2009","12/16/2011","04/25/2012","02/27/2013","09/26/2016","1","Public Works - Other"
"43","20142","PB06T523","TWM","Storm Drainage","Middle Peaks Branch - Phase 1 - to Fair Park","Under Award - Construction","Milton Brooks","214-948-4015","milton.brooks@dallascityhall.com","$22,340,355.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Jan 26 01:32:11 PM","06/13/2007","07/30/2015","01/13/2016","02/01/2016","12/30/2020","Citywide","Trinity Watershed Management"
"44","19340","PB06U201","PBW","Intergovernmental Partnership Projects","Alpha Rd - Noel to Preston","On Hold","Chiamin Korngiebel","214-670-1228",,"$4,467,050.00","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","2016 Sep 06 11:45:07 AM",,"05/31/2011",,,,"11","Public Works - Other"
"45","19498","PB06U783","PBW","Thoroughfares","Continental - Industrial to IH 35E","Under Award - Construction","Mary Zackary","214-671-9507","mary.zackary@dallascityhall.com","$3,828,900.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Jul 13 12:45:17 PM","01/23/2008","01/30/2013","03/26/2014","06/02/2014","04/15/2016","6","Public Works - Other"
"46","20519","PB06U236","PBW","Intergovernmental Partnership Projects","Walnut Hill - Malibu to Luna","Under Award - Construction","Anshi Jin","214-948-4253","anshi.jin@dallascityhall.com","$3,573,640.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 15 08:46:11 AM","12/12/1907","10/14/2013","01/31/1914","11/16/2014","08/31/2016","6","Public Works - Other"
"47","19647","PRK06476","PKR","Trail Development","Five Mile Greenbelt (East of I-35)","Under Award - Construction","John R. O'Connor","(214) 670-4124",,"$1,300,000.00","false","false","false","false","true","false","false","true","false","false","false","false","false","false","false","2014 May 27 01:51:25 PM","04/27/2009","04/30/2011","03/08/2013","09/30/2011","06/30/2014","5,8","Park and Recreation"
"48","20216","PRK06507","PKR","Trail Development","Old Trinity Trail (Trinity Strand Trail)","Under Award - Construction",,,,"$1,500,000.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2014 May 14 05:19:36 PM","09/23/2005",,"11/20/2012",,"08/31/2014","2","Park and Recreation"
"50","19734","PRK04139","PKR","Trail Development","Five Mile Creek Trail","Under Award - Design","John R. O'Connor","(214) 670-4124",,"$1,000,000.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2014 May 27 01:50:58 PM","10/29/2010","04/30/2011","07/30/2011","09/30/2011","09/30/2014","Citywide","Park and Recreation"
"51","19999","PRK06482","PKR","Trail Development","Lake Highlands Trail","Under Award - Construction","John R. O'Connor","(214) 670-4124",,"$700,000.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2014 May 13 05:13:14 PM","07/15/2007","07/30/2010","12/09/2013","12/30/2010","08/31/2014","10","Park and Recreation"
"52","25039","TW12S765","TWM","Storm Drainage Relief System","Bahama Drive Relief System","Under Award - Construction","David Garcia","214-948-4334",,"$577,000.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jan 26 01:28:20 PM","01/08/2014","12/31/2015","04/13/2016","06/01/2016","12/31/2016","1","Trinity Watershed Management"
"53","25043","TW12S769","TWM","Storm Drainage Relief System","Mill Creek, Peaks Branch and State Thomas","Under Award - Design","Milton Brooks","214-948-4015","milton.brooks@dallascityhall.com","$218,600,000.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Sep 06 06:57:13 PM","10/21/2015","07/01/2016","10/15/2016","11/15/2016","12/29/2019","Citywide","Trinity Watershed Management"
"54","24558","PB12S200","PBW","Alley Petitions","Alley between Bishop Avenue and Haines Avenue from Neches Street to Wickford Street","Under Award - Construction","Cornelio Rivera","214-948-4001","wilkens.engmann@dallascityhall.com","$171,400.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:44:16 AM","09/25/2013","04/30/2015","08/12/2015","04/30/2016","06/28/2017","1","Public Works - Alley"
"168","24920","PB12S545","PBW","Street Resurfacing","Rialto Dr from Glen Regal Dr to Bunche Dr","Remaining to-be-awarded",,,,"$73,000.00","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","2016 Jun 22 02:44:42 PM",,,"04/12/2017","06/01/2017","12/30/2017","10","Public Works - Street"
"55","24564","PB12S206","PBW","Alley Petitions","Alley between Mt. Nebo Street and Mt. Shasta Street from Mt. Royal Street to Mt. Ranier Street","Under Award - Construction","Cornelio Rivera","214-948-4001","wilkens.engmann@dallascityhall.com","$251,000.00","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:44:45 AM","09/25/2013","04/30/2015","08/12/2015","04/30/2016","06/28/2017","3","Public Works - Alley"
"56","24777","PB12S425","PBW","Street Petitions","Rockwood St from Jerden Ln to Pembroke Ave","Under Award - Construction","Cornelio Rivera","214-948-4001","wilkens.engmann@dallascityhall.com","$979,600.00","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","09/25/2013","04/30/2015","08/12/2015","04/30/2016","06/28/2017","4","Public Works - Street"
"57","24771","PB12S419","PBW","Street Petitions","Elmdale Pl from Polk St to Tyler St","Under Award - Construction","Cornelio Rivera","214-984-4001","wilkens.engmann@dallascityhall.com","$455,500.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","09/25/2013","04/30/2015","08/12/2015","04/30/2016","06/28/2017","1","Public Works - Street"
"58","24747","PB12S395","PBW","Complete Street","Jefferson Blvd from Crawford to Van Buren","Under Award - Design","Jaime Gomez","214-948-4167","haytham.hassan@dallascityhall.com","$1,469,400.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","11/12/2014","08/05/2016","11/09/2016","12/28/2016","11/28/2017","1","Public Works - Street"
"59","24732","PB12S377","PBW","Street Resurfacing","Polk St from Jefferson Blvd to Davis","On Hold","Mathew Ittoop",,,"$474,600.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 30 10:06:01 AM",,,,,,"1","Public Works - Street"
"60","24694","PB12S336","PBW","Street Resurfacing","Edgefield from Clarendon to Illinois","Under Award - Construction","Mathew Ittoop",,,"$889,600.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:25:53 PM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","1","Public Works - Street"
"61","24796","PB12S444","PBW","Street Reconstruction","Superior St from Catherine to W. Clarendon","Under Award - Construction","Lap Trinh","214-948-4001","wilkens.engmann@dallascityhall.com","$807,700.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:08:52 AM","09/25/2013","10/07/2015","12/09/2015","03/07/2016","03/28/2017","1","Public Works - Street"
"62","24902","PB12S527","PBW","Street Resurfacing","Montclair Ave from Brooklyn Ave to Clarendon Dr","Remaining to-be-awarded","Mathew Ittoop",,,"$165,300.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:41:53 PM",,,"04/12/2017","06/01/2017","12/30/2017","1","Public Works - Street"
"63","24903","PB12S528","PBW","Street Resurfacing","Montreal Ave (S) from Clarendon Dr to Brandon St","Remaining to-be-awarded","Mathew Ittoop",,,"$157,500.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:42:02 PM",,,"04/12/2017","06/01/2017","12/30/2017","1","Public Works - Street"
"64","24949","PB12S575","PBW","Street Resurfacing","Western St from Sunnyside Ave to Cockrell Hill Rd","Remaining to-be-awarded","Mathew Ittoop",,,"$103,000.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:48:11 PM",,,"04/12/2017","06/01/2017","12/30/2017","1","Public Works - Street"
"65","24817","PB12S465","PBW","Street Resurfacing","Barnett Ave from Irwindell Blvd to Brooklyndell Ave","Under Award - Construction","Mathew Ittoop",,,"$77,600.00","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jul 13 12:45:16 PM",,,"04/13/2016","06/30/2016","02/28/2017","1","Public Works - Street"
"66","24674","PB12S316","PBW","Street Reconstruction Thoroughfares","Maple Ave from 700' south of Mockingbird Ln to Mockingbird Ln","Under Award - Design","Liong So","214-948-4570","liong.so@dallascityhall.com","$730,200.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Sep 06 05:54:15 PM","03/26/2014","10/31/2016","01/25/2017","03/20/2017","12/31/2017","2","Public Works - Street"
"67","24695","PB12S337","PBW","Street Resurfacing","Empire Central St from Harry Hines Blvd to Heartsill Dr","Under Award - Construction","Mathew Ittoop",,,"$374,300.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:25:53 PM","01/01/1900",,"04/13/2016","06/30/2016","02/28/2017","2","Public Works - Street"
"68","24749","PB12S397","PBW","Complete Street","Main St from Good Latimer to Exposition","Under Award - Design","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$734,700.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:56:15 AM","04/09/2014","06/30/2016","10/23/2016","01/09/2017","09/28/2017","2","Public Works - Street"
"69","24710","PB12S353","PBW","Street Resurfacing","Henderson Ave (N) from Richard to Ross","Remaining to-be-awarded","Marco Bravo","214-948-5350","marco.bravo@dallascityhall.com","$740,200.00","false","true","false","false","false","false","false","false","false","false","false","false","false","true","false","2016 Jul 15 10:42:22 AM",,,"12/02/2016",,"11/20/2017","2,14","Public Works - Street"
"70","24921","PB12S546","PBW","Street Resurfacing","Roanoke Ave from Huron Dr to Mohawk Dr","Remaining to-be-awarded","Mathew Ittoop",,,"$53,800.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Jun 22 02:44:42 PM",,,"04/12/2017","06/01/2017","12/30/2017","2","Public Works - Street"
"71","24790","PB12S438","PBW","Street Reconstruction","Langdon Ave from Thurston Dr to Denton Dr","Under Award - Construction","Liong So","214-948-4570","liong.so@dallascityhall.com","$474,000.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 11:04:39 AM","03/26/2014","07/19/2015","10/28/2015","02/24/2016","06/30/2017","2","Public Works - Street"
"72","24759","PB12S407","PBW","Complete Street","Henderson St from US 75 to Ross Ave","Under Award - Design","Marco Bravo","214-948-5350","marco.bravo@dallascityhall.com","$1,312,100.00","false","true","false","false","false","false","false","false","false","false","false","false","false","true","false","2016 Aug 29 10:56:15 AM","05/11/2016","03/23/2017","06/11/2017","07/10/2017","07/08/2018","2,14","Public Works - Street"
"73","24755","PB12S403","PBW","Intergovernmental Partnership Projects","Mountain Creek Parkway from 2400Ã¢â¬â¢ southeast of Eagle Ford to Clark Road","Under Award - Construction","Aniswarie Kanamazina",,,"$6,701,000.00","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Sep 06 11:45:07 AM","08/13/2008","06/13/2014","06/11/1915","10/19/2015","10/27/2017","3","Public Works - Other"
