OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
106586,1008780,PB12S205,Alley between Manana Drive and Park Lane from Larga Drive to Marsh Lane,Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,391800,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2016/11/14 06:00:00+00,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,2017/06/22 05:00:00+00,2017/06/22 05:00:00+00,2019/12/20 06:00:00+00,2019/12/20 06:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/18 06:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2017/03/22 05:00:00+00,2017/06/22 05:00:00+00,2019/12/20 06:00:00+00,TBD,391800,762972.35,26175,49085.17,6,1349.94236605729
106587,1008781,PB12S206,Alley between Mt. Nebo Street and Mt. Shasta Street from Mt. Royal Street to Mt. Ranier Street,"The improvements will include new- 6"" thick 10 feet wide Reinforced Concrete Pavement (818 Linear feet long)- Driveways (3)- Wastewater lines (801 linear feet)",2012,Street and Transportation,Alley Petitions,Complete,PBW,Wilkens Engmann,,wilkens.engmann@dallascityhall.com,251000,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2015/04/30 05:00:00+00,2015/04/30 05:00:00+00,2015/09/17 05:00:00+00,2015/09/17 05:00:00+00,2016/05/31 05:00:00+00,2016/05/31 05:00:00+00,2018/06/05 05:00:00+00,2018/06/05 05:00:00+00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/09/04 05:00:00+00,2013/09/25 05:00:00+00,2015/04/30 05:00:00+00,2015/09/17 05:00:00+00,2016/05/31 05:00:00+00,2018/06/05 05:00:00+00,TBD,251000,205509.84,181221.96,208121.29,1,843.881481826127
106588,1008782,PB12S207,Alley between State Street and Thomas Avenue from Routh Street to Boll Street,Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,PBW,Derek White,214-948-4308,derek.white@dallas.gov,91800,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2015/03/28 05:00:00+00,2017/05/24 05:00:00+00,2015/08/08 05:00:00+00,2017/09/25 05:00:00+00,2017/09/25 05:00:00+00,,2019/06/30 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/18 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2017/05/24 05:00:00+00,2017/09/25 05:00:00+00,2019/06/30 05:00:00+00,TBD,91800,321467.46,131406.23,156702.92,14,345.272777084956
106589,1008783,PB12S208,Alley southwest and parallel to Shoreview Road from Forest Trail to Nimrod Trail,Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,PBW,Wilkens Engmann,,wilkens.engmann@dallascityhall.com,189800,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2017/01/17 06:00:00+00,2017/04/12 05:00:00+00,2017/04/12 05:00:00+00,2017/05/30 05:00:00+00,2017/05/30 05:00:00+00,2018/04/23 05:00:00+00,2018/04/23 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/18 06:00:00+00,2014/01/22 06:00:00+00,2017/02/17 06:00:00+00,2017/04/12 05:00:00+00,2017/05/30 05:00:00+00,2018/04/23 05:00:00+00,TBD,189800,195122.36,20622.5,27026.98,10,645.582587488336
106590,1008784,PB12S209,"Bluffman Drive, Castle Hills Drive & Lovingood Dr. - Lovingood Dr. - Loud Dr.",Alley Petitions,2012,Street and Transportation,Alley Petitions,Complete,STS,Lap Trinh,,lap.trinh@dallascityhall.com,226500,2013/12/11 06:00:00+00,2013/12/11 06:00:00+00,2014/01/11 06:00:00+00,2014/01/11 06:00:00+00,2016/08/24 05:00:00+00,2016/08/24 05:00:00+00,2017/02/06 06:00:00+00,2017/02/06 06:00:00+00,2017/10/13 05:00:00+00,2017/10/13 05:00:00+00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024/09/04 05:00:00+00,2013/12/11 06:00:00+00,2014/01/11 06:00:00+00,2016/08/24 05:00:00+00,2017/02/06 06:00:00+00,2017/10/13 05:00:00+00,TBD,226500,460391.51,1124.8,31795.77,8,1028.59452183462
106591,1008785,PB12S210,Capps Dr & Rexford Dr from. Lemmon Ave parallel to Glencrest Ln,Improvement of existing alley pavement with 10FT wide and 6 thick reinforced concrete pavement.,2012,Street and Transportation,Alley Petitions,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,146900,2014/01/22 06:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2015/03/28 05:00:00+00,2017/02/22 06:00:00+00,2015/08/08 05:00:00+00,2017/06/22 05:00:00+00,2017/06/22 05:00:00+00,2019/08/30 05:00:00+00,2019/08/30 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/10/02 05:00:00+00,2014/01/22 06:00:00+00,2016/11/14 06:00:00+00,2017/02/22 06:00:00+00,2017/06/22 05:00:00+00,2019/08/30 05:00:00+00,TBD,146900,259347.91,13375,-4361.21,13,600.342575077007
106592,1008786,PB12S211,Aldwick Dr (8805-9031) And Fenchurch Rd (8904-9020) A8409,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,218000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/18 06:00:00+00,,,,,,TBD,218000,203606.97,211997.77,221800.2,10,995.214646551673
106593,1008787,PB12S212,Allencrest Ln (4608-4732) And Forest Ln (4609-4719) A5246,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,209400,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,,2014/04/23 05:00:00+00,2015/04/08 05:00:00+00,2015/04/08 05:00:00+00,,2015/03/04 06:00:00+00,,2017/02/21 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/08/30 05:00:00+00,2013/09/25 05:00:00+00,2014/04/23 05:00:00+00,2015/04/08 05:00:00+00,2015/03/04 06:00:00+00,2017/02/21 06:00:00+00,TBD,209400,184634.54,154612.65,185654.08,13,956.452569208404
106594,1008788,PB12S213,Allencrest Ln (4807-4931) And Nashwood Ln (4808-4918) A5244,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,274000,,2013/09/25 05:00:00+00,2014/12/05 06:00:00+00,2014/12/05 06:00:00+00,2015/04/08 05:00:00+00,2015/04/08 05:00:00+00,,2015/10/18 05:00:00+00,,2017/10/07 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/09/04 05:00:00+00,2013/09/25 05:00:00+00,2014/12/05 06:00:00+00,2015/04/08 05:00:00+00,2015/10/18 05:00:00+00,2017/10/07 05:00:00+00,TBD,274000,228217.8,195260.92,225649.9,13,1250.96271473937
106595,1008789,PB12S214,Alto Caro Dr (7305-7447) And Clearhaven Dr (7306-7446) A9167,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,260200,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/08/30 05:00:00+00,,,,,,TBD,260200,283624.15,7450.25,317034.92,11,1188.49580929904
106596,1008790,PB12S215,Amberwood Rd (16101-16239) And Wickerwood Dr (6401-6535) A9726,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,347000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025/01/18 06:00:00+00,,,,,,TBD,347000,464541.94,412173.92,431048.85,12,1583.52950969684
106597,1008791,PB12S216,Arapaho Rd (7630-7630) And El Padre (7707-7707) A9260,,2012,Street and Transportation,Alley Reconstruction,Complete,STS,,,,188800,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/09/04 05:00:00+00,,,,,,TBD,188800,-22129.7,398.25,1817.53,11,860.926461689008
106598,1008792,PB12S217,Azalea Ln (6121-6339) And Royalton Dr (6142-6342) A8946,Alley pavement and wastewater improvements,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Derek White,214-948-4308,derek.white@dallas.gov,253900,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2017/07/10 05:00:00+00,,2019/01/05 06:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/11/23 06:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2019/01/05 06:00:00+00,TBD,253900,421317.22,120045.36,66783,11,1159.31176861518
106599,1008793,PB12S218,Azalea Ln (7107-7239) And Currin Dr (7106-7238) A8773,Alley pavement and wastewater improvements,2012,Street and Transportation,Alley Reconstruction,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,258700,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2017/07/10 05:00:00+00,,2019/01/05 06:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/02/01 06:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2019/01/05 06:00:00+00,TBD,258700,302864.83,186513.54,31751.29,11,1181.42436449912
106600,1008794,PB12S219,Baxtershire Dr (7110-7250) And Eudora Dr (7109-7239) A8730,"Alley Reconstruction Group 12-2046Full Alley Reconstruction, 1,380 LF Concrete Pavement",2012,Street and Transportation,Alley Reconstruction,Complete,STS,Luis Montano,,luis.montano@dallascityhall.com,273400,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2016/06/09 05:00:00+00,2016/03/27 05:00:00+00,2016/12/14 06:00:00+00,2017/01/16 06:00:00+00,2017/04/03 05:00:00+00,2017/02/05 06:00:00+00,2018/07/13 05:00:00+00,2018/05/17 05:00:00+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/10/02 05:00:00+00,2013/09/25 05:00:00+00,2016/06/09 05:00:00+00,2016/12/14 06:00:00+00,2017/04/03 05:00:00+00,2018/07/13 05:00:00+00,11,273400,568427.09,34170.75,45367.86,11,1247.87853694793
106601,1008795,PB12S220,Beauty Ln (10804-11030) And Royal Ln (3461-3461) A5447,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,317200,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/09/04 05:00:00+00,,,,,,TBD,317200,306403.12,329529.79,354026.37,13,1445.81580245743
106602,1008796,PB12S221,Blue Mesa Dr (6834-6922) And Hillcrest Rd (17702-17726) A10597,"Alley Reconstruction Group 12-2033 Reconstruction of 820' Alley - New RC Paving No W, No WW Council Dist 12 Mapsco 5 M",2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Andrew Velasquez,2149484441,andrew.velasquez@dallas.gov,182300,2014/10/22 05:00:00+00,2014/10/22 05:00:00+00,2017/07/31 05:00:00+00,2017/07/31 05:00:00+00,2017/11/08 06:00:00+00,2017/11/08 06:00:00+00,2018/02/12 06:00:00+00,2018/02/12 06:00:00+00,2021/08/31 05:00:00+00,2021/08/31 05:00:00+00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024/10/02 05:00:00+00,2014/10/22 05:00:00+00,2017/07/31 05:00:00+00,2017/11/08 06:00:00+00,2018/02/12 06:00:00+00,2021/08/31 05:00:00+00,12,182300,379047.2,8180,56435.32,12,838.215564614169
106603,1008797,PB12S222,Boca Bay Dr (4109-4263) And Shady Bend Dr (4110-4264) A5528,,2012,Street and Transportation,Alley Reconstruction,Complete,STS,Lap Trinh,,lap.trinh@dallascityhall.com,376600,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/10/02 05:00:00+00,,,,,,TBD,376600,354466.35,313178.08,354097,13,1718.7230166314
106604,1008798,PB12S223,Brookview Dr (4400-4538) And Gloster Rd (4407-4533) A3086,Alley pavement and wastewater improvements,2012,Street and Transportation,Alley Reconstruction,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,295500,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2017/07/10 05:00:00+00,,2019/01/05 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/02/01 06:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2019/01/05 06:00:00+00,TBD,295500,426654.07,152321.2,42547.33,13,1349.23009052066
106605,1008799,PB12S225,Buxhill Dr (9406-9734) And Shady Dale Ln (9607-9735) A8390,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,244500,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/10/02 05:00:00+00,,,,,,TBD,244500,423045.12,379619.67,390203.54,10,1119.53727357498
106606,1008800,PB12S224,Buxhill Dr (9405-9735) And Lanshire Dr (9408-9636) A8389,,2012,Street and Transportation,Alley Reconstruction,Complete,STS,,,,310400,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/30 05:00:00+00,,,,,,TBD,310400,595608.31,564927.84,588051.49,10,1419.03687888634
106607,1008801,PB12S226,Caruth Blvd (7403-7543) And Colgate Ave (7402-7542) A3880,Alley pavement and wastewater improvements,2012,Street and Transportation,Alley Reconstruction,Complete,STS,Derek White,214-948-4308,derek.white@dallas.gov,241000,2013/09/25 05:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2017/07/10 05:00:00+00,,2019/01/05 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/02/01 06:00:00+00,2013/09/25 05:00:00+00,2016/11/18 06:00:00+00,2017/03/22 05:00:00+00,2017/07/10 05:00:00+00,2019/01/05 06:00:00+00,TBD,241000,376841.7,189294.01,57362.5,13,1099.98239799538
106608,1008802,PB12S227,Catamore Ln (3117-3185) And Flowerdale Ln (3112-3162) A11081,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,195800,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/10/02 05:00:00+00,,,,,,TBD,195800,308477.55,296315.78,312222.81,13,894.97917339394
106609,1008803,PB12S228,Caulfield Dr (6701-6805) And Spanky Branch Ct (6904-7000) A9551,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,203500,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023/05/04 05:00:00+00,,,,,,,203500,195447.62,195447.62,203821.17,12,930.51463826594
106610,1008804,PB12S229,Cedar Bend Dr (12317-12417) A5499,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,191900,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023/05/04 05:00:00+00,,,,,,TBD,191900,281713.55,275853.14,288170.68,13,871.445693091375
106611,1008805,PB12S230,Cedarbrush Dr (3809-3951) And Goodfellow Dr (3810-3948) A5588,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,305800,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/07/27 05:00:00+00,,,,,,TBD,305800,199935.51,258852.11,270330.13,13,1395.76809291661
106612,1008806,PB12S231,Chapel Downs Dr (3106-3256)And Timberview Rd (3111-3253),Design is complete.,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,349000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024/08/30 05:00:00+00,,,,,,,349000,449687.5,364710.28,380854.31,13,1594.41530786151
106613,1008807,PB12S232,Chattington Dr (7403-7439) And Meandering Pl (15105-15115) A9290,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,180300,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/08/30 05:00:00+00,,,,,,TBD,180300,144597.69,144031.75,152009.88,11,821.69517697895
106614,1008808,PB12S233,Chattington Dr (7507-7625) And Woodstone Ln (7524-7624) A9309,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,185300,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/02/01 06:00:00+00,,,,,,TBD,185300,240886.84,198889.47,211701.58,11,846.49419913368
106615,1008809,PB12S234,Chesterton Dr (10206-10432) And Walnut Hill Ln (10201-10201) A8448,,2012,Street and Transportation,Alley Reconstruction,Complete,STS,,,,302100,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,TBD,302100,191656.38,251954.1,262957.93,10,1378.67816014764
106616,1008810,PB12S235,Chiswell Rd (9707-9747) And Lanshire Dr (9718-9738) A8384,,2012,Street and Transportation,Alley Reconstruction,Complete,STS,,,,85700,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/30 05:00:00+00,,,,,,TBD,85700,110899.95,100981.36,109284.78,10,393.270230341844
106617,1008812,PB12S236,Churchill Way (6824-6838) And Hillcrest Rd (12361-12361) A8884,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,90700,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/10/06 05:00:00+00,,,,,,TBD,90700,86510.45,80540,88431.37,11,413.692383875226
106618,1008813,PB12S238,Clearhaven Dr (7206-7246) And Alto Caro Dr (7249-7279) A9160,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,,,,125100,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024/09/04 05:00:00+00,,,,,,TBD,125100,181632.84,3958.75,182529.91,11,570.833520047471
106619,1008814,PB12S239,Coach Light Rd (7204-7260) And Pecan Ridge Dr (7322-7346) A6160,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Jaime Gomez,,jaime.gomez@dallascityhall.com,316100,,2013/12/11 06:00:00+00,2015/02/14 06:00:00+00,2015/02/14 06:00:00+00,2015/05/27 05:00:00+00,2015/05/27 05:00:00+00,,2015/07/27 05:00:00+00,,2017/07/16 05:00:00+00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/18 06:00:00+00,2013/12/11 06:00:00+00,2015/02/14 06:00:00+00,2015/05/27 05:00:00+00,2015/07/27 05:00:00+00,2017/07/16 05:00:00+00,TBD,316100,230324.05,258712.92,268821.22,8,1439.97418035119
106620,1008815,PB12S240,Coral Gables Dr (3608-3660) And Pallos Verdas Dr (3627-3675) A5411,,2012,Street and Transportation,Alley Reconstruction,Complete,PBW,Lap Trinh,,lap.trinh@dallascityhall.com,186000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023/05/04 05:00:00+00,,,,,,TBD,186000,291335.78,287189.21,300980.33,13,848.467768976741
