OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
102360,1020332,PB24Y019,2811-2837 Encino Dr & 2810-2836 Quanah St (A07872),Project Group 24-9001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Ghassan Khayyat,,ghassan.khayyat@dallas.gov,197635,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,09,197635,29349,0,0,9,423.569602458066
102361,1020333,PB24Y020,2874-2880 56Th & 5103 Cardiff St (A17826),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,63273,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,63273,9396,0,0,8,138.364946472123
102362,1020382,PB24Y021,3011-3051 Timberview Rd & 10209 Dale Crest Dr (A05689),Project Group 24-1302,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,231084,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/16 06:00:00+00,,,,,,13,231084,0,0,0,13,503.894031004213
102363,1020383,PB24Y022,3024-3064 Community (A2985) & A2986 From A2985 To Community,Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,356713,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,06,356713,0,0,0,6,778.830705828914
102364,1020384,PB24Y023,3061-3185 Lockmoor Ln & 3026-3098 Newcastle Dr (A05817),Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,624477,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,06,624477,0,0,0,6,1362.41446802125
102365,1020385,PB24Y024,3100 Clover St (Alley),Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,148096,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,02,148096,0,0,0,2,323.300311781063
102366,1020386,PB24Y025,3104-3170 Newcastle Dr & 3205-3271 Lockmoor Ln (A05821),Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,464919,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,06,464919,0,0,0,6,1013.60896622754
102367,1020387,PB24Y026,3105-3135 St Croix Dr & 3106-3136 Tower Trl (A05387),Project Group 24-1302,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,241097,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/16 06:00:00+00,,,,,,13,241097,0,0,0,13,525.994920822722
102368,1020388,PB24Y027,3108-3180 Jubilee Trl & 3191-3255 Townsend Dr (A05456),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,504809,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/21 06:00:00+00,,,,,,13,504809,74963,0,0,13,1101.14948255039
102369,1020389,PB24Y028,3111-3165 Whitehall Dr & 3264-3290 Northaven Rd (A05448),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,339532,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/21 06:00:00+00,,,,,,13,339532,50420,0,0,13,743.775134306823
102370,1020390,PB24Y029,3207-3365 Whitehall Dr & 3306-3390 Northaven Rd (A05446),Project Group 24-1302,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,730633,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/16 06:00:00+00,,,,,,13,730633,0,0,0,13,1597.06686791695
102371,1020391,PB24Y030,3509-3667 Northaven Rd & 3506-3648 Flair Dr (A05420),Project Group 24-1302,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,617842,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/16 06:00:00+00,,,,,,13,617842,0,0,0,13,1351.24679585355
102372,1020392,PB24Y031,3605-3625 Silverhill Dr & 3610-3620 Softcloud Dr (A09924),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,99495,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,99495,14775,0,0,8,216.068731987069
102373,1020393,PB24Y032,3710-3770 Stagecoach Trl & 3705-3735 Mclarty Ln (A09954),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,193029,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,08,193029,28665,0,0,8,421.376482804318
102374,1020394,PB24Y033,3827-3925 Morning Dew Trl & 3904-3922 Morning Frost (A02346),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,326681,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,04,326681,48512,0,0,4,570.15807442357
102375,1020395,PB24Y034,405-419 N Clinton Ave & 410 N Edgefield Ave (A01568),Part of Project Group 24-6002.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Rebecca Carr,214-948-4570,rebecca.carr@dallas.gov,143969,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,01,143969,0,0,0,1,309.597477912903
102376,1020396,PB24Y035,4107-4209 Firewood Dr & 4108-4154 Happy Canyon Dr (A09979),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,378263,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,378263,56172,0,0,8,824.252729509506
102377,1020397,PB24Y036,508-534 Seaside Dr & 7930-7938 Greenspan Dr (A06550),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,211827,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,08,211827,31457,0,0,8,461.614809304397
102378,1020398,PB24Y037,5156-5180 Ivy Ln (A04433),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,70151,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,70151,0,0,0,8,152.511687317346
102379,1020399,PB24Y038,6510-6580 Calais Dr & 6509-6565 Crestmere Dr (A09343/A09345),PROJECT GROUP 24-3001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Michael Athanasius,,michael.athanasius@dallas.gov,628145,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/16 06:00:00+00,,,,,,11,628145,0,0,0,11,1371.09996497813
102380,1020400,PB24Y039,6909-7077 Joyce Way (A03336),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,564414,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/21 06:00:00+00,,,,,,13,564414,83817,0,0,13,1230.94939621185
102381,1020401,PB24Y040,7006-7066 Whitehill & 7005-7065 Town North (A03463/A03462),Project Group 24-9001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Ghassan Khayyat,,ghassan.khayyat@dallas.gov,536008,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,09,536008,79598,0,0,9,1162.96939955225
102382,1020402,PB24Y041,7021-7029 Nandina Dr & 3014-3018 Pine Trail Ct (A09909),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,113250,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,113250,16817,0,0,8,247.245462726755
102383,1020403,PB24Y042,7209-7275 Lupton Cir (A03320),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,156807,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/21 06:00:00+00,,,,,,13,156807,23285,0,0,13,341.870370601032
102384,1020404,PB24Y043,7107-7239 Currin Dr & 7106-7238 Northaven Rd (A08769),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Shah Salman Ahmad,,shahsalman.ahmad@dallas.gov,544240,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/21 06:00:00+00,,,,,,11,544240,80819,0,0,11,1186.27297444895
102385,1020405,PB24Y044,7605-7611 Olusta Dr (A11224),Project Group 24-8002,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Christian Poole,,christian.poole@dallas.gov,105914,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,08,105914,15729,0,0,8,230.91629721337
102386,1020406,PB24Y045,7706-7734 Lost Mirage Dr & 1420-1428 Kirnwood Dr (A06658),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,234752,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,234752,34860,0,0,8,511.950463721218
102387,1020407,PB24Y046,7803-7835 Umphress Rd & 7802-7832 Tomkins Ln (A04653),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,228792,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,05,228792,0,0,0,5,498.578382229417
102388,1020408,PB24Y047,826-1028 Tarryall Dr & 903-947 Channing Cir (A02339),,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,,,,510081,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,04,510081,75746,0,0,4,889.802365785198
102389,1020409,PB24Y048,8606-8838 Forest Green Dr & 8603-8833 Skyline Dr (A03399),This is part of Project Group 24-1001.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Gilberto Arvizu,214-948-4441,gilberto.arvizu@dallas.gov,615765,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/23 06:00:00+00,,,,,,10,615765,91441,0,0,10,1343.19376091251
102390,1020410,PB24Y049,8804-8884 Larchwood Dr & 8805-8871 Liptonshire Dr (A08493),This is part of Project Group 24-1001.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Gilberto Arvizu,214-948-4441,gilberto.arvizu@dallas.gov,535070,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/23 06:00:00+00,,,,,,10,535070,79459,0,0,10,1166.55428947884
102391,1020411,PB24Y050,9005-9043 Windy Crest Dr & 9150-9170 Forest Ln (A03529),This is part of Project Group 24-1001.,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Gilberto Arvizu,214-948-4441,gilberto.arvizu@dallas.gov,531286,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/21 06:00:00+00,,,,,,10,531286,78896,0,0,10,927.444168905471
102392,1020416,PB24Y055,3806-3860 Kiestmeadow Dr & 3042-3078 Kiestridge Dr (A06048),PROJECT GROUP 24-3001,2024,Street and Transportation,Alley Reconstruction,Remaining To Be Awarded,,Michael Athanasius,,michael.athanasius@dallas.gov,323701,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,03,323701,0,0,0,3,706.454976992832
102393,1020421,PB24Y061,Columbia/Main Complete Street,,2024,Street and Transportation,Complete Street,,,,,,5000000,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2024/12/14 06:00:00+00,,,,,,"02,14",5000000,4992500,0,0,"2,14",8212.03571126907
102394,1020422,PB24Y062,Downtown Elmwood Streetscape Improvements (CD1 Funds),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,,,,1200000,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,1200000,0,0,0,1,1448.09422897953
102395,1020423,PB24Y063,Elsie Faye Heggins  TOD Connections (2nd to Scyene),,2024,Street and Transportation,Complete Street,,,,,,9150000,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024/12/14 06:00:00+00,,,,,,07,9150000,1358774,0,0,7,4375.31894309094
102396,1020424,PB24Y064,Ervay Two-Way Conversion Design (I-30 to St. Paul),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,,,,450000,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,02,450000,0,0,0,2,1271.49204296195
102397,1020425,PB24Y065,Harwood - Woodall Rogers To Main (CD14 Funds),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,Travis Coltharp,,travis.coltharp@dallas.gov,700000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/23 06:00:00+00,,,,,,14,700000,103950,0,0,14,3545.44779639476
102398,1020426,PB24Y066,Harwood - Woodall Rogers To Main (CW Funds),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,Travis Coltharp,,travis.coltharp@dallas.gov,14900000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/23 06:00:00+00,,,,,,14,14900000,2212650,0,0,14,3545.44779639476
102399,1020427,PB24Y067,Jefferson Complete Street Design (Hampton to Polk),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,,,,3000000,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,3000000,0,0,0,1,5598.57980958035
102400,1020428,PB24Y068,La Vista - Paulus To Gaston,,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,,,,1100000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,14,1100000,0,0,0,14,285.773508787474
102401,1020429,PB24Y069,N Hall St from N Central Serv W to Oak Grove Ave,,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,,,,500000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/10 06:00:00+00,,,,,,14,500000,0,0,0,14,2501.36101251002
102402,1020430,PB24Y070,Peak Complete Street (Lemmon/ Haskell to Parry),,2024,Street and Transportation,Complete Street,Remaining To Be Awarded,,Osiris Muhammad,214-948-4541,osiris.muhammad@dallas.gov,22110000,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2025/01/17 06:00:00+00,,,,,,"07,02",22110000,3316500,0,0,"2,7",10506.1465189071
102403,1020431,PB24Y071,San Jacinto Complete Street (Lamar to Ross),,2024,Street and Transportation,Partnership Project - Prospective,Remaining To Be Awarded,,,,,6900000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,14,6900000,0,0,0,14,5537.95900620391
102404,1020432,PB24Y072,Bernal Trail Project (Tumalo Trail to Norwich),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,6500000,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,06,6500000,975000,0,0,6,8924.91931338441
102405,1020433,PB24Y073,Danieldale  Thoroughfare Expansion (Hampton to IH-35E),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,10000000,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,10000000,1500000,0,0,8,10540.7129042684
102406,1020434,PB24Y074,Davis Phase I Complete Street (Clinton to Hampton),,2024,Street and Transportation,Partnership Projects - Funded,,,,,,15000000,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,15000000,0,0,0,1,4271.35278476008
102407,1020435,PB24Y075,Denton Complete Street (Walnut Hill to Mockingbird),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,10000000,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,"06,02",10000000,0,0,0,"2,6",24346.5706953256
102408,1020436,PB24Y076,Edd Thoroughfare Expansion (Seagoville to Garden Grove),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,7860000,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/31 06:00:00+00,,,,,,08,7860000,7848210,0,0,8,2821.75104628669
102409,1020437,PB24Y077,Lovers Ln. Complete Street (Lemmon to Lomo Alto),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,6500000,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2025/01/14 06:00:00+00,,,,,,"06,13",6500000,965250,0,0,"6,13",9017.31804857776
102410,1020438,PB24Y078,Ross Ave from IH345 to N Haskell Ave,,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,600000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,14,600000,89100,0,0,14,3535.63753482786
102411,1020439,PB24Y079,Shorecrest  Thoroughfare Expansion (Harry Hines to Lemmon),,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,2500000,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,"06,02",2500000,0,0,0,"2,6",9808.09644480393
102412,1020440,PB24Y080,Field and Griffin Complete Street (CD14 Funds),,2024,Street and Transportation,Partnership Project - Prospective,Remaining To Be Awarded,,,,,1000000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,14,1000000,0,0,0,14,1880.49632095171
102413,1020441,PB24Y082,Martin Luther King Jr. Complete Street,,2024,Street and Transportation,Partnership Projects - Funded,Remaining To Be Awarded,,,,,6000000,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,07,6000000,0,0,0,7,8503.66141837466
102414,1020442,PB24Y083,Military Pkwy  Complete Street (Forney to Buckner),,2024,Street and Transportation,Partnership Project - Prospective,Remaining To Be Awarded,,,,,1000000,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,"05,07",1000000,0,0,0,"5,7",14644.3998654265
102415,1020443,PB24Y084,Skillman Streetscape Improvements-Walnut Hill to Forest-CD10,,2024,Street and Transportation,Partnership Project - Prospective,,,,,,2000000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,2000000,0,0,0,10,14859.2425458758
102416,1020444,PB24Y085,Skillman Streetscape Improvements-Walnut Hill to Forest-CDSF,,2024,Street and Transportation,Partnership Project - Prospective,Remaining To Be Awarded,,,,,2000000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/01/10 06:00:00+00,,,,,,10,2000000,0,0,0,10,14859.2425458758
102417,1020445,PB24Y086,Skillman Streetscape Improvements-Walnut Hill to Forest-CW,,2024,Street and Transportation,Partnership Project - Prospective,,,,,,1000000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/21 05:00:00+00,,,,,,10,1000000,0,0,0,10,14859.2425458758
102418,1020446,PB24Y087,The Bottom Phase III - Local Match,,2024,Street and Transportation,Partnership Project - Prospective,Remaining To Be Awarded,,,,,917000,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,04,917000,136174,0,0,4,2328.18870068484
102419,1020448,PB24Y090,Chevez Dr from Avon St to El Tivoli Dr,,2024,Street and Transportation,Sidewalk Improvements,,,,,,378328,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/08 05:00:00+00,,,,,,01,378328,0,0,0,1,721.872769670909
102420,1020449,PB24Y091,Missing sidewalk on Glencoe St from Martel to Morningside,,2024,Street and Transportation,Sidewalk Improvements,,,,,,209600,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024/08/08 05:00:00+00,,,,,,14,209600,0,0,0,14,997.267615763042
102421,1020450,PB24Y092,San Jose Dr from Avon St to Chevez Dr,,2024,Street and Transportation,Sidewalk Improvements,,,,,,351866,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/08/08 05:00:00+00,,,,,,01,351866,0,0,0,1,671.384056599116
102422,1020452,PB24Y094,N Masters Dr (east side) - Carolina Oaks Dr to Abraham Dr,,2024,Street and Transportation,Sidewalk Petitions,,,,,,290199,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024/10/06 05:00:00+00,,,,,,07,290199,290199,0,0,7,2611.8817290279
102423,1020453,PB24Y095,S Cockrell Hill Rd (west side)-Alley S of Image to Briarglen,,2024,Street and Transportation,Sidewalk Petitions,,,,,,437704,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024/10/06 05:00:00+00,,,,,,03,437704,437704,0,0,3,1559.64756473079
102424,1020454,PB24Y096,Sidewalk (leave outs) (east side only) on Easton Road,,2024,Street and Transportation,Sidewalk Petitions,,,,,,88613,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024/10/06 05:00:00+00,,,,,,09,88613,88613,0,0,9,423.1599227645
102425,1020455,PB24Y097,Sidewalk leave outs Haines (east side) - Neches to Wickford,,2024,Street and Transportation,Sidewalk Petitions,,,,,,25840,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/10/06 05:00:00+00,,,,,,01,25840,25840,0,0,1,605.448835249182
102426,1020456,PB24Y098,Sidewalk leave outs Woodlawn (east side) Neches to Wickford,,2024,Street and Transportation,Sidewalk Petitions,,,,,,107644,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/10/06 05:00:00+00,,,,,,01,107644,107644,0,0,1,597.585486507663
102427,1020457,PB24Y102,Boyd Street from Berkley Avenue to Wilbur Street,,2024,Street and Transportation,Street Petitions,Remaining To Be Awarded,,,,,1192100,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,1192100,177027,0,0,1,746.091041613641
102428,1020458,PB24Y103,Hartsdale Ave from Remond to existing pave north of Tangiers,,2024,Street and Transportation,Street Petitions,Remaining To Be Awarded,,,,,556750,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,556750,82719,0,0,1,783.268041286651
102429,1020459,PB24Y104,Marlborough Ave from Brandon to exist concrete S. of Emmett,,2024,Street and Transportation,Street Petitions,Remaining To Be Awarded,,,,,1768500,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,01,1768500,262755,0,0,1,620.669680271789
102430,1020460,PB24Y105,W Ricks Circle from Tibbs St to Northaven Road,,2024,Street and Transportation,Street Petitions,Remaining To Be Awarded,,,,,1106950,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025/01/14 06:00:00+00,,,,,,11,1106950,164383,0,0,11,875.02700671828
102431,1020461,PB24Y106,1500-1600 Market Center Blvd,,2024,Street and Transportation,Street Reconstruction - Arterials,Remaining To Be Awarded,,,,,5418377,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,06,5418377,0,0,0,6,1414.50737324977
102432,1020462,PB24Y107,2100 N Harwood St,,2024,Street and Transportation,Street Reconstruction - Arterials,Remaining To Be Awarded,,,,,2548553,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,14,2548553,378461,0,0,14,631.314928296337
102433,1020463,PB24Y108,2900-3000 S Belt Line Rd,,2024,Street and Transportation,Street Reconstruction - Arterials,Remaining To Be Awarded,,,,,4128675,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025/01/14 06:00:00+00,,,,,,08,4128675,613108,0,0,8,937.096407748863
102434,1020464,PB24Y109,400 S Akard St,Street Reconstruction - Arterials,2024,Street and Transportation,Street Reconstruction - Arterials,Remaining To Be Awarded,,Hani Jaser,2149484124,hani.jaser@dallas.gov,783760,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/14 06:00:00+00,,,,,,"02,14",783760,116388,0,0,"2,14",388.224975186798
102435,1020465,PB24Y110,4000-4100 Inwood Rd,,2024,Street and Transportation,Street Reconstruction - Arterials,Remaining To Be Awarded,,Mehari Abraha,,mehari.abraha@dallas.gov,4548910,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025/01/19 06:00:00+00,,,,,,13,4548910,0,0,0,13,1447.00356622858
102436,1020466,PB24Y111,100-200 N Marsalis Ave,Project Group 24-1006,2024,Street and Transportation,Street Reconstruction - Collectors,Remaining To Be Awarded,,Michael Athanasius,,michael.athanasius@dallas.gov,3921708,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,01,3921708,582375,0,0,1,1068.74128850882
102437,1020467,PB24Y112,1700-1800 Cadiz St,1700-1800 Cadiz St,2024,Street and Transportation,Street Reconstruction - Collectors,Remaining To Be Awarded,,Ghassan Khayyat,,ghassan.khayyat@dallas.gov,4029796,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/16 06:00:00+00,,,,,,02,4029796,0,0,0,2,878.15516396764
