OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
47493,1008193,PB06U205,Cockrell Hill - La Reunion to Singleton,"The Cockrell Hill Road from La Reunion Parkway to Singleton Boulevard project includes a new grade-separated overpass over the UPRR tracks.  The project entails extending the existing Cockrell Hill roadway north across the tracks with a new bridge and widening 1,500 LF of Vinson Road north of the bridge.  The bridge section will be four lanes divided and the roadway section will consist of five lanes with a two-way left turn lane.  ",2006,Street and Transportation,Intergovernmental Partnership Projects,Under Design,STS,Benjamin Aguirre,,benjamin.aguirre@dallas.gov,5679535,2010/04/13 05:00:00+00,2010/04/01 05:00:00+00,2017/06/30 05:00:00+00,2017/06/27 05:00:00+00,,2025/06/25 05:00:00+00,,2025/09/02 05:00:00+00,,2028/04/23 05:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2010/04/13 05:00:00+00,2017/06/30 05:00:00+00,2025/06/25 05:00:00+00,2025/09/02 05:00:00+00,2028/04/23 05:00:00+00,06,5679535,693662.15,985507.9,5335372.62,6,2644.62155465922
47494,1008200,PB06U215,Riverfront Blvd - Cadiz St to Continental Ave,Partnership project with Dallas County and TxDOT to reconstruct the existing 6 lane road. Total est. cost of $57M. Segment A extends from north of Commerce to Continental and the City has the lead for ongoing construction and be substantially complete by 9/30/17. Segment B extends from north of Commerce to Cadiz and the County has the lead and design to complete by 12/31/2017.,2006,Street and Transportation,Intergovernmental Partnership Projects,Under Design,PBW,,,,5488090,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,,,,,,"02,06",5488091,1999069.6,1618725.08,30623983.27,"1,2,6",8818.35125569482
47495,1008684,PB06U733,Commerce from Good-Latimer to Hall,"Paving, Drainage, Streetscape including landscaping, signal hardware and pedestrian lighting.Supplemental Agreement #8 -Main Street Sidewalk and minor streetscape -approved council 10/23/2019",2006,Street and Transportation,Streetscape / Urban Design,Under Construction,STS,Travis Coltharp,,travis.coltharp@dallas.gov,1743681,2008/08/27 05:00:00+00,2008/08/27 05:00:00+00,,2023/02/24 06:00:00+00,2023/09/27 05:00:00+00,2023/09/27 05:00:00+00,,2024/04/15 05:00:00+00,,2026/11/21 06:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/12/14 06:00:00+00,2008/08/27 05:00:00+00,2023/02/24 06:00:00+00,2023/09/27 05:00:00+00,2024/04/15 05:00:00+00,2026/11/21 06:00:00+00,02,1743681,-287916.73,518412.63,531351.32,2,2461.00509798877
47496,1008731,PB06U780,Chalk Hill - I 30 EB frontage road to Singleton,"Build 4500 LF a new four lane divided (S-4-D) roadway with auxiliary lanes. project will provide a four-lane divided concrete pavement (I-30 EB Frontage Road to Singleton Blvd) with curbs, sidewalks, drive approaches, storm drainage, water and wastewater main improvements. This project will improve traffic flow and conform with the city thoroughfare standards. the project also includes - Sidewalk and crosswalk improvements - 15' median with limited trees / streetscape + Street lights.",2006,Street and Transportation,Thoroughfares,Under Construction,STS,Mehari Abraha,,mehari.abraha@dallas.gov,6630449,2008/01/23 06:00:00+00,2008/01/23 06:00:00+00,2022/06/01 05:00:00+00,2022/06/01 05:00:00+00,,2022/08/24 05:00:00+00,,2023/01/16 06:00:00+00,,2025/12/31 06:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2008/01/23 06:00:00+00,2022/06/01 05:00:00+00,2022/08/24 05:00:00+00,2023/01/16 06:00:00+00,2025/12/31 06:00:00+00,06,6630449,12166565.77,680027.79,16174119.8,6,4330.71396544149
47497,1008762,PB06W045,Lamar Streetscape,"Lamar Street from Wood Street to Elm Street, Complete Street:Streetscape project with sidewalk improvements and pedestrian amenities: enhanced sidewalks, bulbouts at intersections, lighting, trees, benches, trash receptacles and replacement traffic signals, roadway micro-surface seal and pavement markings, shared bike lanes, etc. ",2006,Street and Transportation,Streetscape / Urban Design,Under Construction,PBW,Haider Twayej,,haider.twayej@dallas.gov,0,2018/11/21 06:00:00+00,2018/11/21 06:00:00+00,2022/06/08 05:00:00+00,2022/06/08 05:00:00+00,2022/09/28 05:00:00+00,2022/09/28 05:00:00+00,2023/03/17 05:00:00+00,2023/03/17 05:00:00+00,,2025/03/31 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/02/01 06:00:00+00,2018/11/21 06:00:00+00,2022/06/08 05:00:00+00,2022/09/28 05:00:00+00,2023/03/17 05:00:00+00,2025/03/31 05:00:00+00,14,0,8167337.27,3724704.67,5155032.27,"2,14",1138.32701172219
47498,1008884,PB12S309,Canada Dr from Hampton St to Westmoreland Rd,"Paving, Drainage, Bridge Replacement, Traffic signal at Westmoreland, Trinity Style Lighting, Water and Wastewater Improvements for Canada Dr from Westmoreland Rd to Hampton Road.Added Calypso Loop by SA#1- additional 1400 LF additional Lane of Traffic to South Canada Dr. crosses East side of Hampton bridge and connects to Calypso; added two additional Traffic Signals.",2012,Street and Transportation,Street Reconstruction Thoroughfares,Under Construction,STS,Osiris Muhammad,214-948-4541,osiris.muhammad@dallas.gov,4150000,2015/03/25 05:00:00+00,2015/03/25 05:00:00+00,2022/07/15 05:00:00+00,2022/07/15 05:00:00+00,2022/09/28 05:00:00+00,2022/09/28 05:00:00+00,2023/01/31 06:00:00+00,2023/01/31 06:00:00+00,,2025/12/16 06:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2015/03/25 05:00:00+00,2022/07/15 05:00:00+00,2022/09/28 05:00:00+00,2023/01/31 06:00:00+00,2025/12/16 06:00:00+00,06,4150000,-11820235.01,725053.53,1278038.92,6,5242.62822847919
47499,1008966,PB12S399,West Dallas Gateway-PB12S399,Scope revised to one proposed railroad tunnel underpass at UPRR and Herbert Street.  ,2012,Street and Transportation,Gateway,Under Design,PBW,Horacio Pizzarello,214.948.5350 ,horacio.pizzarello@dallas.gov,34300000,2014/01/08 06:00:00+00,2014/01/08 06:00:00+00,,2025/05/19 05:00:00+00,,2025/03/05 06:00:00+00,,2025/04/07 05:00:00+00,,2028/04/04 05:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2014/01/08 06:00:00+00,2025/05/19 05:00:00+00,2025/03/05 06:00:00+00,2025/04/07 05:00:00+00,2028/04/04 05:00:00+00,06,34300000,34380227.56,2261067.32,7584859.39,6,4531.68370249282
47500,1008969,PB12S402,LBJ at Skillman Interchange,"Project entails designing, including schematics and EA, for the ulitmate LBJ/Skillman interchange configuration. This project entails design only. Partnerhsip project with TxDOT and Dallas County. City administered the design (EA and schematics) and has completed design @ 95% and turned it over to TxDOT to be included in the LBJ East Design-Build Project.",2012,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,PBW,Cameron Anderson,,cameron.anderson@dallas.gov,1714300,2013/06/26 05:00:00+00,2013/06/26 05:00:00+00,,2017/11/30 06:00:00+00,2019/05/30 05:00:00+00,2019/05/30 05:00:00+00,2019/08/22 05:00:00+00,2019/08/22 05:00:00+00,,2025/09/30 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/08/29 05:00:00+00,2013/06/26 05:00:00+00,2017/11/30 06:00:00+00,2019/05/30 05:00:00+00,2019/08/22 05:00:00+00,2025/09/30 05:00:00+00,TBD,1714300,3012727.5,0,0,10,361.290758479205
47501,1008975,PB12S408,Knox from Katy Trail to US 75,"Complete streets improvements.Design Consultant - Huitt-Zollars, Inc.  . Construction of mixed use development on the west end of this project at Katy Trail satrted",2012,Street and Transportation,Complete Street,Under Design,STS,Dhiyaa Tohme,,dhiyaa.tohme@dallas.gov,734700,2017/03/22 05:00:00+00,2017/03/22 05:00:00+00,,2025/04/29 05:00:00+00,,2025/05/28 05:00:00+00,,2025/08/30 05:00:00+00,,2027/01/27 06:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/02/01 06:00:00+00,2017/03/22 05:00:00+00,2025/04/29 05:00:00+00,2025/05/28 05:00:00+00,2025/08/30 05:00:00+00,2027/01/27 06:00:00+00,14,734700,780182.46,138696,263308.87,14,1638.301296006
47502,1009182,PB12S616,Flag Pole Hill Trail Improvements,Trail from Goforth Rd to Jules Muchert Building,2012,Street and Transportation,Trails,Under Design,PBW,Richard Ritz,(214) 670-4104,richard.ritz@dallascityhall.com,1200000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024/12/14 06:00:00+00,,,,,,TBD,1200000,-479670.33,182324.66,217128,10,3801.46049167094
47503,1009183,PB12S617,Lake Highlands Trail Phase 2,"Trail from White Rock Creek Trail in Harry S. Moss Park to Skillman StThe Project has two Phases (Phase 2A and 2B) Lake Highlands Trail Phase 2A/2B, Northern extensionThe Project has three phases; Phase 2A:- Approx. 1.32 miles long trail from Harry S Moss Park to Arbor park including 190 LF of Boardwalk under Walnut Hill LanePhase 2A:- Approx. 0.63 miles long trail from Arbor park to Skillman to Church road to White Rock trail including a Hawk signal installation at Abrams RoadNorthern Extension; - 0.40 miles long trail from Walnut Hill Dart Station to Church road including 448 LF boardwalk over creek.",2012,Street and Transportation,Hike and Bike Trails,Under Construction,PBW,Mehul Pithadia,(214) 670-1806,mehul.pithadia@dallas.gov,1600000,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025/02/04 06:00:00+00,,,,,,10,1600000,-124938.3,691425.94,2736185.65,10,6339.15948110126
47504,1009185,PB12S619,Runyon Creek Greenbelt Trail,Trail from Glendale Park to the Future DART station at UNT campus of Camp Wisdom Rd,2012,Street and Transportation,Trails,Under Construction,PBW,John Reynolds,214-670-5454,john.reynolds@dallas.gov,3673600,,1972/02/08 06:00:00+00,,1971/12/21 06:00:00+00,,1971/11/22 06:00:00+00,,,,1971/12/21 06:00:00+00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,1972/02/08 06:00:00+00,1971/12/21 06:00:00+00,1971/11/22 06:00:00+00,,1971/12/21 06:00:00+00,TBD,3673600,6026529.36,4740464.07,4978049.5,"3,8",13298.1755429448
47505,1009189,PB12S624,Trinity Trail from Sylvan to Moore Park,,2012,Street and Transportation,Trails,Under Construction,PBW,,,,6418400,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2023/05/04 05:00:00+00,,,,,,,6418400,3613120.4,3533452.83,3629544.56,"1,4,6,Citywide",20855.0516537828
47506,1009190,PB12S623,Trinity Strand Trail Phase 2,"Medical District Extension of the Trinity Strand Trail, connecting to New Parkland Hospital and the Medical District via the existing DART light rail corridor- from Turtle Creek Plaza and the existing Trinity Strand Trail (Phase One) to IH35 at Oak Lawn Avenue to the Inwood DART Station.  This project goes south under the DART light rail elevated from Inwood Station, then turns along south side of Medical District Drive, then within the existing COD ROW of Harry Hines Boulevard to Market Center Boulevard.  One (1) lane of Market Center Boulevard will be taken away (on the North side only) to acommodate the trail, along Market Center until it joins with the existing Phase One of Trinity Strand Trail at Turtle Creek Plaza.",2012,Street and Transportation,Trails,Under Construction,PKR,John Reynolds,214-670-5454,john.reynolds@dallas.gov,3358500,,2018/09/20 05:00:00+00,,2019/04/18 05:00:00+00,2021/04/13 05:00:00+00,2021/04/13 05:00:00+00,,2021/05/31 05:00:00+00,,2023/06/30 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2018/09/20 05:00:00+00,2019/04/18 05:00:00+00,2021/04/13 05:00:00+00,2021/05/31 05:00:00+00,2023/06/30 05:00:00+00,06,3358500,4802086.76,615487.77,6582732.95,2,12833.8732537864
47507,1009237,PB95L194,Hatcher - Haskell To Industrial,The proposed project will be a four lane divided highway along Dolphin Road (Hatcher Street) with intersection improvements at Haskell Avenue/Military Parkway from Spring Avenue to Haskell/Military.,1995,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,PBW,Mohanad Habib,,mohanad.habib@dallas.gov,143000,2015/08/26 05:00:00+00,2015/08/26 05:00:00+00,2018/07/31 05:00:00+00,2018/07/31 05:00:00+00,2020/10/13 05:00:00+00,2020/10/13 05:00:00+00,2021/04/19 05:00:00+00,2021/04/19 05:00:00+00,,2025/04/30 05:00:00+00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024/11/23 06:00:00+00,2015/08/26 05:00:00+00,2018/07/31 05:00:00+00,2020/10/13 05:00:00+00,2021/04/19 05:00:00+00,2025/04/30 05:00:00+00,"07,02",0,291488.8,498802.14,470386.65,7,1755.17700991496
47508,1009339,PB98N073,Hatcher - Haskell to Spring,The proposed project will be a four lane divided highway along Dolphin Road (Hatcher Street) with intersection improvements at Haskell Avenue/Military Parkway from Spring Avenue to Haskell/Military.,1998,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,STS,Mohanad Habib,,mohanad.habib@dallas.gov,395000,2016/09/27 05:00:00+00,2016/09/27 05:00:00+00,2018/07/31 05:00:00+00,2018/07/31 05:00:00+00,2020/10/13 05:00:00+00,2020/10/13 05:00:00+00,2021/04/19 05:00:00+00,2021/04/19 05:00:00+00,,2025/04/30 05:00:00+00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025/01/18 06:00:00+00,2016/09/27 05:00:00+00,2018/07/31 05:00:00+00,2020/10/13 05:00:00+00,2021/04/19 05:00:00+00,2025/04/30 05:00:00+00,02,395000,196644.91,129600.13,179301.57,7,1755.17700991496
47509,1009484,PB98P107,IH-30 Signature Bridge across Trinity River,,1998,Flood Protection and Storm Drainage,Trinity River Corridor,Under Construction,DWU,Christopher D. Hill,214-957-6639,christopher.hill2@dallas.gov,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,TBD,0,11241411.76,28813809.65,18332628.51,"1,6",6819.23582934418
47510,1009588,PBNIP007,Spring Avenue Redevelopment Project,"Street resurfacing, landscaping, street scaping, pedestrian walkway, pedestrian lighting, master planning.",0,Street and Transportation,Streetscape / Urban Design,Under Construction,PBW,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,0,3280.25,3280.25,7,4215.02312887578
47511,1009611,PBPRP640,Riverfront Blvd from Parkhouse St to Union Pacific,,0,Street and Transportation,Thoroughfares,Under Construction,PBW,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024/11/23 06:00:00+00,,,,,,,0,6620451.03,6369472.22,6369472.22,6,2226.78089521466
47512,1009613,PBPRP817,Elam Rd -Pemberton Hill Rd west to Dead End,,0,Street and Transportation,Thoroughfares,Under Design,PBW,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,0,0,0,5,2867.93204370055
47513,1009671,PBTIF026,Rosemont Safe Route to School,Increasing safety and bicycle ridership in the area that surrounds Rosemont Elementary School.,0,Street and Transportation,Streetscape / Urban Design,Under Design,PBW,Thuc Pham,214-948-4253,thuc.pham@dallascityhall.com,36272,2018/04/11 05:00:00+00,2018/04/11 05:00:00+00,,2024/07/24 05:00:00+00,,2024/12/11 06:00:00+00,,2025/01/13 06:00:00+00,,2026/01/16 06:00:00+00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/05/29 05:00:00+00,2018/04/11 05:00:00+00,2024/07/24 05:00:00+00,2024/12/11 06:00:00+00,2025/01/13 06:00:00+00,2026/01/16 06:00:00+00,01,0,85737.51,82951.51,88421.43,1,13746.2308994784
47514,1011481,STRES001,N. St. Augustine Drive-Eloise to Glengreen,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,546617.27,0,0,5,2155.59040495425
47515,1011483,STRES003,Shiloh Rd. from Ruidosa Ave to Barnes Bridge Rd,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,585661.35,0,0,9,1292.52347299509
47516,1011484,STRES004,Easton Road from Bon Aire Drive to Lake Highlands Drive,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,0,0,0,9,1843.02077066817
47517,1011485,STRES006,Nashwood Lane from Forest Lane to North of Allencrest,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023/05/04 05:00:00+00,,,,,,,0,32536.74,0,0,13,641.444708162352
47518,1011486,STRES007,DOUGLAS LANE FROM DELOCHE AVENUE TO WALNUT HILL LANE,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023/05/04 05:00:00+00,,,,,,,0,299338.03,0,0,13,3403.52605104003
47519,1011487,STRES005,Beltline Rd. from Meandering Way to Carriage Lane,,0,Street and Transportation,Street Resurfacing,Under Construction,STS,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023/05/04 05:00:00+00,,,,,,,0,455514.42,0,0,11,1149.01361806393
